ID,Project,PhotoPrefix,CoverPath,GalleryPattern
K-01,KONO Villas,K,photos/K-1.jpg,"photos/K-2.jpg, photos/K-3.jpg ..."
K-02,KONO Villas,K,photos/K-1.jpg,"photos/K-2.jpg, photos/K-3.jpg ..."
K-03,KONO Villas,K,photos/K-1.jpg,"photos/K-2.jpg, photos/K-3.jpg ..."
OA-01,Oasis Villas Pandawa,OA,photos/OA-1.jpg,"photos/OA-2.jpg, photos/OA-3.jpg ..."
UE-01,Privé Pererenan,UE,photos/UE-1.jpg,"photos/UE-2.jpg, photos/UE-3.jpg ..."
UE-02,Privé Pererenan,UE,photos/UE-1.jpg,"photos/UE-2.jpg, photos/UE-3.jpg ..."
UE-03,Privé Pererenan,UE,photos/UE-1.jpg,"photos/UE-2.jpg, photos/UE-3.jpg ..."
UE-04,Privé Pererenan,UE,photos/UE-1.jpg,"photos/UE-2.jpg, photos/UE-3.jpg ..."
SE-01,Serenity Estates,SE,photos/SE-1.jpg,"photos/SE-2.jpg, photos/SE-3.jpg ..."
UM-01,Umalas Private Suite,UM,photos/UM-1.jpg,"photos/UM-2.jpg, photos/UM-3.jpg ..."
TB-01,Tumbak Bayuh Private Suite,TB,photos/TB-1.jpg,"photos/TB-2.jpg, photos/TB-3.jpg ..."
TB-02,Tumbak Bayuh Private Suite,TB,photos/TB-1.jpg,"photos/TB-2.jpg, photos/TB-3.jpg ..."
AL-01,Villa Alicante,AL,photos/AL-1.jpg,"photos/AL-2.jpg, photos/AL-3.jpg ..."
V-02,Vasana,V,photos/V-1.jpg,"photos/V-2.jpg, photos/V-3.jpg ..."
V-01,Vasana,V,photos/V-1.jpg,"photos/V-2.jpg, photos/V-3.jpg ..."
SF-01,Surfside,SF,photos/SF-1.jpg,"photos/SF-2.jpg, photos/SF-3.jpg ..."
SF-02,Surfside,SF,photos/SF-1.jpg,"photos/SF-2.jpg, photos/SF-3.jpg ..."
SF-04,Surfside,SF,photos/SF-1.jpg,"photos/SF-2.jpg, photos/SF-3.jpg ..."
SF-05,Surfside,SF,photos/SF-1.jpg,"photos/SF-2.jpg, photos/SF-3.jpg ..."
SF-03,Surfside,SF,photos/SF-1.jpg,"photos/SF-2.jpg, photos/SF-3.jpg ..."
BN-01,La Casa Espanola II,BN,photos/BN-1.jpg,"photos/BN-2.jpg, photos/BN-3.jpg ..."
BN-03,La Casa Espanola II,BN,photos/BN-1.jpg,"photos/BN-2.jpg, photos/BN-3.jpg ..."
BN-04,La Casa Espanola II,BN,photos/BN-1.jpg,"photos/BN-2.jpg, photos/BN-3.jpg ..."
AV-01,Aravita Residence,AV,photos/AV-1.jpg,"photos/AV-2.jpg, photos/AV-3.jpg ..."
AV-02,Aravita Residence,AV,photos/AV-1.jpg,"photos/AV-2.jpg, photos/AV-3.jpg ..."
AV-03,Aravita Residence,AV,photos/AV-1.jpg,"photos/AV-2.jpg, photos/AV-3.jpg ..."
AV-04,Aravita Residence,AV,photos/AV-1.jpg,"photos/AV-2.jpg, photos/AV-3.jpg ..."
FW-01,Fairway,FW,photos/FW-1.jpg,"photos/FW-2.jpg, photos/FW-3.jpg ..."
FW-02,Fairway,FW,photos/FW-1.jpg,"photos/FW-2.jpg, photos/FW-3.jpg ..."
PR-01,Prana Virgin,PR,photos/PR-1.jpg,"photos/PR-2.jpg, photos/PR-3.jpg ..."
PR-02,Prana Virgin,PR,photos/PR-1.jpg,"photos/PR-2.jpg, photos/PR-3.jpg ..."
ML-01,Melasti Villas,ML,photos/ML-1.jpg,"photos/ML-2.jpg, photos/ML-3.jpg ..."
ML-02,Melasti Villas,ML,photos/ML-1.jpg,"photos/ML-2.jpg, photos/ML-3.jpg ..."
ML-03,Melasti Villas,ML,photos/ML-1.jpg,"photos/ML-2.jpg, photos/ML-3.jpg ..."
M-02,MOONO,M,photos/M-1.jpg,"photos/M-2.jpg, photos/M-3.jpg ..."
M-01,MOONO,M,photos/M-1.jpg,"photos/M-2.jpg, photos/M-3.jpg ..."
